prompt_name,version,classification,summary,file
"AI Interview Simulator & Response Coach","1.6.2","Interview prep","","AI Interview Simulator & Response Coach.md"
"AI Job Scout & Fit Evaluator","1.3.0","Other / Job search","Aggregates high-signal job leads while filtering for Ghost Jobs, toxic culture indicators, and low-quality postings while scoring true candidate fit using evidence-based analysis.","AI Job Scout & Fit Evaluator.md"
"AI voice interview - ChatGPT","1.1.1","Interview prep","Deliver a realistic, structured, voice-based mock interview with calibrated difficulty, controlled feedback timing, and actionable evaluation. Supported: ChatGPT (Voice Mode recommended)","AI voice interview - ChatGPT.md"
"AI voice interview - Gemini","1.0.1","Interview prep","","AI voice interview - Gemini.md"
"AI voice interview - Grok","1.1.1","Interview prep","","AI voice interview - Grok.md"
"ATS Parse-Aware Optimization Layer","1.1.0","Resume tools","Enforce robust, drift-resistant ATS compatibility rules with strict output formatting and error handling during resume and cover letter generation. <!-- INSTRUCTIONAL PLUG-IN: Append this block to any resume or cover letter generation prompt to enforce ATS com","ATS Parse-Aware Optimization Layer.md"
"ATS Resume Scanner Simulator","UNKNOWN","Resume tools","Simulate ATS and human-reviewer perspectives with","ATS Resume Scanner Simulator.md"
"Behavioral Interview Diagnostic","UNKNOWN","Interview prep","To coach jobseekers on how to handle behavioral ""Tell me about a time..."" questions. This tool identifies storytelling gaps, cuts through rambling backstories, and teaches the user how to turn a simple memory into a strategic career win.","Behavioral Interview Diagnostic.md"
"Behavioural Interview Story Distillation Engine","1.4.5","Interview prep","============================================================ Extract high-signal professional competencies from real career experiences, pressure-test narratives under simulated interview","Behavioural Interview Story Distillation Engine.md"
"CV Landmines","1.1.1","Resume tools","STATEMENT ================= The purpose of this tool is to perform a comprehensive, evidence-based review of a resume and optional cover letter prior to submission.","CV Landmines.md"
"Career Calibration Engine","1.1.3","Other / Job search","and intended use-case. - Clarified that the prompt is designed for INTERNAL professional perspective and labor-market calibration.","Career Calibration Engine.md"
"Career Data Enhancer","2.1.0","Other / Job search","","Career Data Enhancer.md"
"Career Gap Analysis & Skills Enrichment Prompt","UNKNOWN","Other / Job search","# Career Gap Analysis & Skills Enrichment Prompt (v1.3) **Purpose** Help users strengthen their professional documentation (Master Career Document or résumé) for a specific job by identifying ONLY undocumented or weakly-documented gaps against a job posting, c","Career Gap Analysis & Skills Enrichment Prompt.md"
"Career Interview Data Collector","1.4.0","Interview prep","","Career Interview Data Collector.md"
"Career Profile Discovery Engine","UNKNOWN","Other / Job search","","Career Profile Discovery Engine.md"
"Career Profile Distiller","1.2.0","Other / Job search","Identity Compression + Context Preservation Engine","Career Profile Distiller.md"
"Career Profile Gap Analysis Engine","2.0.1","Other / Job search","Audit a user's master career profile to identify missing, underdeveloped, ambiguous, contradictory, or high-value information needed for downstream job-fit evaluation, resume tailoring, ATS optimization, and interview preparation.","Career Profile Gap Analysis Engine.md"
"Career Profile from Resume Builder","1.1.3","Resume tools","============================================================ Convert a user-provided resume into a structured, standardized career profile.","Career Profile from Resume Builder.md"
"Career Signal Augmentation","1.1.1","Other / Job search","# AUTHOR: Scott Malin, CISSP # Career Profile enhancement Prompt # PURPOSE: Transforms a structured career profile (resume, LinkedIn, or master career markdown) and interactive interview inputs into a multi-layer Master Talent Graph. The system identifies evid","Career Signal Augmentation.md"
"Career Signal Integrity Engine","1.5.2","Other / Job search","Analyze a professional career profile (resume, LinkedIn, bio, experience narrative) for: - credibility integrity - operational authenticity","Career Signal Integrity Engine.md"
